"","fromvector","tovector","ld50Values","distance","pw50_values","ratio"
"1","A","B",7.56720433213178,38,7.47,0.196578947368421
"2","A","C",14.2099946293139,33,14.03,0.425151515151515
"3","A","D",20.5799999383112,45,20.49,0.455333333333333
"4","A","E",26.1399991522361,52,26.02,0.500384615384615
"5","A","F",25.1699999413886,45,25.18,0.559555555555556
"6","A","G",32.3999999998499,49,32.79,0.669183673469388
"7","A","H",25.8599999555398,47,26.03,0.553829787234043
"8","A","I",14.739961010421,42,14.65,0.348809523809524
"9","A","J",22.7899999784263,45,22.79,0.506444444444444
"10","A","K",17.7599948738341,41,17.65,0.430487804878049
"11","A","L",29.4800002221862,50,29.64,0.5928
"12","A","M",19.4999988166116,41,19.48,0.475121951219512
"13","A","N",30.5900000067746,50,30.62,0.6124
"14","A","T",24.1899998441953,46,24.32,0.528695652173913
"15","A","U",17.329962028626,37,17.34,0.468648648648649
"16","B","A",1,38,1,0.0263157894736842
"17","B","C",3.56008560938493,33,3.46,0.104848484848485
"18","B","D",17.9099459329575,46,17.76,0.386086956521739
"19","B","E",22.8296029999907,55,22.76,0.413818181818182
"20","B","F",20.2999407345024,47,20.27,0.431276595744681
"21","B","G",31.3999934351686,56,31.39,0.560535714285714
"22","B","H",26.1199939491038,52,26.08,0.501538461538462
"23","B","I",12.8296935582777,43,12.61,0.293255813953488
"24","B","J",22.3199983044914,50,22.45,0.449
"25","B","K",11.0292991691227,42,10.87,0.258809523809524
"26","B","L",28.3499516170322,54,28.85,0.534259259259259
"27","B","M",29.8299999466796,52,29.86,0.574230769230769
"28","B","N",22.6599992269043,45,22.64,0.503111111111111
"29","B","T",29.8099996252238,55,29.99,0.545272727272727
"30","B","U",25.4299810113999,50,25.41,0.5082
"31","C","A",12.469984261515,33,12.42,0.376363636363636
"32","C","B",7.44960472591561,33,7.34,0.222424242424242
"33","C","D",31.6500000018888,52,31.61,0.607884615384615
"34","C","E",21.8299478677634,49,21.78,0.444489795918367
"35","C","F",21.4399978190802,43,21.36,0.496744186046512
"36","C","G",36.880000018329,56,36.92,0.659285714285714
"37","C","H",21.0599981701095,44,20.84,0.473636363636364
"38","C","I",7.39993857074477,30,7.29,0.243
"39","C","J",17.4199992379074,41,17.44,0.425365853658537
"40","C","K",11.089323132285,38,10.93,0.287631578947368
"41","C","L",28.7000015214789,49,28.8,0.587755102040816
"42","C","M",23.7399990247467,42,23.69,0.564047619047619
"43","C","N",28.5400000151352,46,28.46,0.618695652173913
"44","C","T",28.1800000025291,46,28.31,0.615434782608696
"45","C","U",18.2698251768653,42,18.21,0.433571428571429
"46","D","A",17.2199995573645,45,17.23,0.382888888888889
"47","D","B",17.5599956260762,46,17.51,0.380652173913044
"48","D","C",29.2999999955749,52,29.31,0.563653846153846
"49","D","E",20.0989664711949,56,19.93,0.355892857142857
"50","D","F",18.6595075322843,47,18.49,0.393404255319149
"51","D","G",28.289999993387,47,28.54,0.607234042553191
"52","D","H",24.0999999847513,48,24,0.5
"53","D","I",14.7399996868302,43,14.59,0.339302325581395
"54","D","J",20.2699987215727,48,20.3,0.422916666666667
"55","D","K",21.6699998791534,48,21.54,0.44875
"56","D","L",24.9399477592753,51,24.98,0.489803921568627
"57","D","M",22.3999879047286,49,22.14,0.451836734693878
"58","D","N",28.5599999565179,53,28.57,0.539056603773585
"59","D","T",19.4299934103802,43,19.58,0.455348837209302
"60","D","U",26.1199855237184,51,26.01,0.51
"61","E","A",28.6799999861094,52,28.7,0.551923076923077
"62","E","B",28.9899999831675,55,29.07,0.528545454545455
"63","E","C",14.8482591997109,49,14.34,0.29265306122449
"64","E","D",21.1497887245602,56,20.84,0.372142857142857
"65","E","F",19.3291388504251,52,19.02,0.365769230769231
"66","E","G",32.3299984722738,58,32.37,0.558103448275862
"67","E","H",24.1799988603961,50,24.2,0.484
"68","E","I",26.8500000028058,52,26.83,0.515961538461538
"69","E","J",19.3399966507038,46,19.29,0.419347826086956
"70","E","K",15.6199014676454,44,15.43,0.350681818181818
"71","E","L",45.3300000043066,62,44.82,0.722903225806452
"72","E","M",16.799898499112,44,16.73,0.380227272727273
"73","E","N",23.5099993237908,50,23.3,0.466
"74","E","T",22.5999833178134,46,22.6,0.491304347826087
"75","E","U",25.7899997867494,48,25.87,0.538958333333333
"76","F","A",20.939987280326,45,21,0.466666666666667
"77","F","B",21.9099996501208,47,21.83,0.464468085106383
"78","F","C",17.9099198885665,43,17.89,0.416046511627907
"79","F","D",19.1699362542264,47,19.19,0.408297872340426
"80","F","E",19.8988763007991,52,19.51,0.375192307692308
"81","F","G",24.3899998589052,47,24.87,0.529148936170213
"82","F","H",13.339915563262,35,13.28,0.379428571428571
"83","F","I",25.9899999983195,51,26.04,0.510588235294118
"84","F","J",15.1999961304134,39,15.2,0.38974358974359
"85","F","K",19.1599988361252,45,19.14,0.425333333333333
"86","F","L",30.5000000147179,48,30.23,0.629791666666667
"87","F","M",14.668674252815,43,14.56,0.338604651162791
"88","F","N",24.02999995418,50,23.96,0.4792
"89","F","T",16.2699865831517,35,16.15,0.461428571428571
"90","F","U",28.0900000027569,49,28.13,0.574081632653061
"91","G","A",28.0399999784305,49,28.03,0.572040816326531
"92","G","B",26.9299997102582,56,26.85,0.479464285714286
"93","G","C",31.6499978203547,56,31.77,0.567321428571429
"94","G","D",19.9999818220489,47,19.94,0.424255319148936
"95","G","E",26.1196580866563,58,26.04,0.448965517241379
"96","G","F",18.4998019844811,47,18.21,0.387446808510638
"97","G","H",28.6799996001143,54,28.58,0.529259259259259
"98","G","I",33.0599998853908,60,33.08,0.551333333333333
"99","G","J",26.2499957791895,52,26.19,0.503653846153846
"100","G","K",30.869999888468,53,30.92,0.583396226415094
"101","G","L",22.1077502216008,56,22.2,0.396428571428571
"102","G","M",22.7999470168616,47,22.71,0.483191489361702
"103","G","N",12.498800548592,47,12.23,0.260212765957447
"104","G","T",13.885276368501,47,13.57,0.288723404255319
"105","G","U",34.920000420868,55,35.02,0.636727272727273
"106","H","A",26.3199999751427,47,26.42,0.562127659574468
"107","H","B",27.289999973753,52,27.3,0.525
"108","H","C",20.7999998879776,44,20.67,0.469772727272727
"109","H","D",23.929999973847,48,24.13,0.502708333333333
"110","H","E",21.4299732227904,50,21.47,0.4294
"111","H","F",11.1279696800386,35,10.89,0.311142857142857
"112","H","G",31.6700002889384,54,31.79,0.588703703703704
"113","H","I",18.8399153274439,50,18.76,0.3752
"114","H","J",1,26,1,0.0384615384615385
"115","H","K",19.5299769685644,48,19.49,0.406041666666667
"116","H","L",7.39993871411947,39,7.35,0.188461538461538
"117","H","M",26.4499998651149,48,26.41,0.550208333333333
"118","H","N",29.9799999796754,56,29.99,0.535535714285714
"119","H","T",15.4098603840408,37,15.3,0.413513513513514
"120","H","U",24.2499971052968,48,24.16,0.503333333333333
"121","I","A",14.699963565222,42,14.65,0.348809523809524
"122","I","B",10.55774933703,43,10.36,0.24093023255814
"123","I","C",2.99072168731783,30,2.74,0.0913333333333333
"124","I","D",16.4799867016296,43,16.37,0.380697674418605
"125","I","E",19.3593461261952,52,19.32,0.371538461538462
"126","I","F",21.7098096498256,51,21.59,0.423333333333333
"127","I","G",36.3900011105021,60,36.4,0.606666666666667
"128","I","H",13.6189373382035,50,13.17,0.2634
"129","I","J",26.4199957409916,48,26.44,0.550833333333333
"130","I","K",15.54995551271,44,15.42,0.350454545454545
"131","I","L",22.299850903896,50,22.54,0.4508
