"","fromvector","tovector","fromnumvector","tonumvector","ld50Values","distance","ratio","inverse"
"1","A","B",1,2,7.56720433213178,38,0.199136956108731,5.02166960638882
"2","A","C",1,3,14.2099946293139,33,0.430605897857997,2.32230911135772
"3","A","D",1,4,20.5799999383112,45,0.457333331962471,2.18658892783713
"4","A","E",1,5,26.1399991522361,52,0.502692291389156,1.98928851134074
"5","A","F",1,6,25.1699999413886,45,0.559333332030858,1.78784267400826
"6","A","G",1,7,32.3999999998499,49,0.661224489792855,1.51234567901935
"7","A","H",1,8,25.8599999555398,47,0.550212765011485,1.81747873475659
"8","A","I",1,9,14.739961010421,42,0.350951452629071,2.84939695364909
"9","A","J",1,10,22.7899999784263,45,0.506444443965029,1.97455024320309
"10","A","K",1,11,17.7599948738341,41,0.43317060667888,2.30855922489063
"11","A","L",1,12,29.4800002221862,50,0.589600004443724,1.69606511611797
"12","A","M",1,13,19.4999988166116,41,0.475609727234429,2.10256423016154
"13","A","N",1,14,30.5900000067746,50,0.611800000135492,1.63452108496001
"14","A","T",1,15,24.1899998441953,46,0.525869561830333,1.90161224870939
"15","A","U",1,16,17.329962028626,37,0.468377352125027,2.13503064454975
"16","B","A",2,1,1,38,0.0263157894736842,38
"17","B","C",2,3,3.56008560938493,33,0.107881382102574,9.26944001374769
"18","B","D",2,4,17.9099459329575,46,0.389346650716467,2.56840529682179
"19","B","E",2,5,22.8296029999907,55,0.415083690908922,2.40915271281863
"20","B","F",2,6,20.2999407345024,47,0.431913632648987,2.31527769537363
"21","B","G",2,7,31.3999934351686,56,0.560714168485154,1.78343986331153
"22","B","H",2,8,26.1199939491038,52,0.502307575944304,1.99081209977785
"23","B","I",2,9,12.8296935582777,43,0.298364966471574,3.35159992751787
"24","B","J",2,10,22.3199983044914,50,0.446399966089828,2.2401435393451
"25","B","K",2,11,11.0292991691227,42,0.262602361169588,3.80803887499778
"26","B","L",2,12,28.3499516170322,54,0.524999104019115,1.90476515549175
"27","B","M",2,13,29.8299999466796,52,0.573653845128454,1.7432115351307
"28","B","N",2,14,22.6599992269043,45,0.503555538375651,1.98587826722303
"29","B","T",2,15,29.8099996252238,55,0.541999993185887,1.84501847338038
"30","B","U",2,16,25.4299810113999,50,0.508599620227998,1.96618314333722
"31","C","A",3,1,12.469984261515,33,0.377878310955,2.64635458296808
